2025-07-30 01:50:58.209 | ERROR    | __main__:get_school_info:64 - 第1页数据获取失败，原因：request() got multiple values for argument 'method'
2025-07-30 01:50:58.828 | ERROR    | __main__:get_school_info:64 - 第2页数据获取失败，原因：request() got multiple values for argument 'method'
2025-07-30 01:50:59.244 | ERROR    | __main__:get_school_info:64 - 第3页数据获取失败，原因：request() got multiple values for argument 'method'
2025-07-30 01:51:08.106 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:53:07.711 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:53:26.303 | ERROR    | __main__:get_school_info:65 - 第1页数据获取失败，原因：'NoneType' object has no attribute 'get'
2025-07-30 01:54:25.835 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:55:28.108 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:55:50.520 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:56:15.598 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:56:15.610 | INFO     | __main__:get_school_info:63 - 第1页数据插入成功，插入30条数据
2025-07-30 01:56:22.120 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:56:22.132 | INFO     | __main__:get_school_info:63 - 第2页数据插入成功，插入30条数据
2025-07-30 01:57:43.880 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:57:43.894 | INFO     | __main__:get_school_info:65 - 第1页数据插入成功，插入30条数据
2025-07-30 01:58:36.196 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:58:54.870 | INFO     | __main__:get_school_info:65 - 第2页数据插入成功，插入30条数据
2025-07-30 01:59:02.435 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:02.449 | INFO     | __main__:get_school_info:65 - 第3页数据插入成功，插入30条数据
2025-07-30 01:59:02.784 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:02.802 | INFO     | __main__:get_school_info:65 - 第4页数据插入成功，插入30条数据
2025-07-30 01:59:03.116 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:03.137 | INFO     | __main__:get_school_info:65 - 第5页数据插入成功，插入30条数据
2025-07-30 01:59:03.460 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:03.483 | INFO     | __main__:get_school_info:65 - 第6页数据插入成功，插入30条数据
2025-07-30 01:59:03.798 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:03.824 | INFO     | __main__:get_school_info:65 - 第7页数据插入成功，插入30条数据
2025-07-30 01:59:04.135 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:04.164 | INFO     | __main__:get_school_info:65 - 第8页数据插入成功，插入30条数据
2025-07-30 01:59:04.480 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:04.512 | INFO     | __main__:get_school_info:65 - 第9页数据插入成功，插入30条数据
2025-07-30 01:59:04.855 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:04.891 | INFO     | __main__:get_school_info:65 - 第10页数据插入成功，插入30条数据
2025-07-30 01:59:05.212 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:05.252 | INFO     | __main__:get_school_info:65 - 第11页数据插入成功，插入30条数据
2025-07-30 01:59:05.597 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:05.638 | INFO     | __main__:get_school_info:65 - 第12页数据插入成功，插入30条数据
2025-07-30 01:59:05.975 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:06.019 | INFO     | __main__:get_school_info:65 - 第13页数据插入成功，插入30条数据
2025-07-30 01:59:06.350 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:06.397 | INFO     | __main__:get_school_info:65 - 第14页数据插入成功，插入30条数据
2025-07-30 01:59:06.708 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:06.759 | INFO     | __main__:get_school_info:65 - 第15页数据插入成功，插入30条数据
2025-07-30 01:59:07.073 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:07.128 | INFO     | __main__:get_school_info:65 - 第16页数据插入成功，插入30条数据
2025-07-30 01:59:07.457 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:07.514 | INFO     | __main__:get_school_info:65 - 第17页数据插入成功，插入30条数据
2025-07-30 01:59:07.833 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:07.892 | INFO     | __main__:get_school_info:65 - 第18页数据插入成功，插入30条数据
2025-07-30 01:59:08.231 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:08.293 | INFO     | __main__:get_school_info:65 - 第19页数据插入成功，插入30条数据
2025-07-30 01:59:08.613 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:08.678 | INFO     | __main__:get_school_info:65 - 第20页数据插入成功，插入30条数据
2025-07-30 01:59:09.001 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:09.068 | INFO     | __main__:get_school_info:65 - 第21页数据插入成功，插入30条数据
2025-07-30 01:59:09.401 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:09.473 | INFO     | __main__:get_school_info:65 - 第22页数据插入成功，插入30条数据
2025-07-30 01:59:09.783 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:09.858 | INFO     | __main__:get_school_info:65 - 第23页数据插入成功，插入30条数据
2025-07-30 01:59:10.177 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:10.253 | INFO     | __main__:get_school_info:65 - 第24页数据插入成功，插入30条数据
2025-07-30 01:59:10.571 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:10.650 | INFO     | __main__:get_school_info:65 - 第25页数据插入成功，插入30条数据
2025-07-30 01:59:10.963 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:11.048 | INFO     | __main__:get_school_info:65 - 第26页数据插入成功，插入30条数据
2025-07-30 01:59:11.365 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:11.456 | INFO     | __main__:get_school_info:65 - 第27页数据插入成功，插入30条数据
2025-07-30 01:59:11.797 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:11.892 | INFO     | __main__:get_school_info:65 - 第28页数据插入成功，插入30条数据
2025-07-30 01:59:12.223 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:12.316 | INFO     | __main__:get_school_info:65 - 第29页数据插入成功，插入30条数据
2025-07-30 01:59:12.632 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:12.738 | INFO     | __main__:get_school_info:65 - 第30页数据插入成功，插入30条数据
2025-07-30 01:59:13.117 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:13.214 | INFO     | __main__:get_school_info:65 - 第31页数据插入成功，插入30条数据
2025-07-30 01:59:13.561 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:13.662 | INFO     | __main__:get_school_info:65 - 第32页数据插入成功，插入30条数据
2025-07-30 01:59:14.023 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:14.133 | INFO     | __main__:get_school_info:65 - 第33页数据插入成功，插入30条数据
2025-07-30 01:59:14.472 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:14.579 | INFO     | __main__:get_school_info:65 - 第34页数据插入成功，插入30条数据
2025-07-30 01:59:14.910 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:15.020 | INFO     | __main__:get_school_info:65 - 第35页数据插入成功，插入30条数据
2025-07-30 01:59:15.330 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:15.450 | INFO     | __main__:get_school_info:65 - 第36页数据插入成功，插入30条数据
